Chromosome	Integration site	Dataset
chr11	63623369	Cohn
chr11	63623451	Cohn
chr11	63626612	Cohn
chr11	63893222	Cohn
chr11	63986234	Cohn
chr11	64552914	Cohn
chr11	64566008	Cohn
chr11	64653395	Cohn
chr11	64967131	Cohn
chr11	64967227	Cohn
chr11	64967679	Cohn
chr11	65045067	Cohn
chr11	65055227	Cohn
chr11	65160338	Cohn
chr11	65160945	Cohn
chr11	65197110	Cohn
chr11	65201843	Cohn
chr11	65202033	Cohn
chr11	65203107	Cohn
chr11	65204532	Cohn
chr11	65204874	Cohn
chr11	65204884	Cohn
chr11	65205794	Cohn
chr11	65269133	Cohn
chr11	65269484	Cohn
chr11	65271817	Cohn
chr11	65385606	Cohn
chr11	65388826	Cohn
chr11	65392807	Cohn
chr11	65740780	Cohn
chr11	65830618	Cohn
chr11	65856384	Cohn
chr11	65856564	Cohn
chr11	65867715	Cohn
chr11	65887650	Cohn
chr11	65928191	Cohn
chr11	65931238	Cohn
chr11	65933685	Cohn
chr11	65957039	Cohn
chr11	65957041	Cohn
chr11	65957051	Cohn
chr11	65957397	Cohn
chr11	66273056	Cohn
chr11	66292158	Cohn
chr11	66390385	Cohn
chr11	66411152	Cohn
chr11	66411274	Cohn
chr11	66411296	Cohn
chr11	66411301	Cohn
chr11	66411314	Cohn
chr11	66411478	Cohn
chr11	66411582	Cohn
chr11	66411784	Cohn
chr11	66549787	Cohn
chr11	66915592	Cohn
chr11	66942263	Cohn
chr11	66948104	Cohn
chr11	66979557	Cohn
chr11	66979701	Cohn
chr11	66979808	Cohn
chr11	66999885	Cohn
chr11	67002722	Cohn
chr11	67005037	Cohn
chr11	67052947	Cohn
chr11	67175890	Cohn
chr11	67287916	Cohn
chr11	67288357	Cohn
chr11	67961397	Cohn
chr11	68318159	Cohn
chr11	68358129	Cohn
chr11	70190474	Cohn
chr11	71703387	Cohn
chr11	72041235	Cohn
chr11	72041418	Cohn
chr11	72041513	Cohn
chr11	72047905	Cohn
chr11	72132172	Cohn
chr11	72132552	Cohn
chr11	72472456	Cohn
chr11	72472509	Cohn
chr11	72472514	Cohn
chr11	72472573	Cohn
chr11	72641809	Cohn
chr11	72681878	Cohn
chr11	72816487	Cohn
chr11	72978748	Cohn
chr11	73266264	Cohn
chr11	73741146	Cohn
chr11	73785455	Cohn
chr11	73812660	Cohn
chr11	73892142	Cohn
chr11	73892525	Cohn
chr11	73894629	Cohn
chr11	73956937	Cohn
chr11	74481443	Cohn
chr11	76084756	Cohn
chr11	76417416	Cohn
chr11	76417491	Cohn
chr11	76917174	Cohn
chr11	76938519	Cohn
chr11	77075268	Cohn
chr11	77075324	Cohn
chr11	77075325	Cohn
chr11	81952034	Cohn
chr11	82735642	Cohn
chr11	82736036	Cohn
chr11	83512246	Cohn
chr11	84843981	Cohn
chr11	85696658	Cohn
chr11	85961283	Cohn
chr11	90618472	Cohn
chr11	95868291	Cohn
chr11	95868316	Cohn
chr11	102349467	Cohn
chr11	103209926	Cohn
chr11	104882742	Cohn
chr11	105953878	Cohn
chr11	105953944	Cohn
chr11	105954023	Cohn
chr11	107288198	Cohn
chr11	107410654	Cohn
chr11	107410703	Cohn
chr11	108115098	Cohn
chr11	108115205	Cohn
chr11	108115285	Cohn
chr11	108138841	Cohn
chr11	110005965	Cohn
chr11	111273251	Cohn
chr11	111273258	Cohn
chr11	111273265	Cohn
chr11	111273299	Cohn
chr11	111273302	Cohn
chr11	111273329	Cohn
chr11	111273345	Cohn
chr11	111273353	Cohn
chr11	111273363	Cohn
chr11	111273378	Cohn
chr11	111273386	Cohn
chr11	111273393	Cohn
chr11	111273411	Cohn
chr11	111273412	Cohn
chr11	111273418	Cohn
chr11	111273570	Cohn
chr11	111273636	Cohn
chr11	111273752	Cohn
chr11	111273796	Cohn
chr11	111536937	Cohn
chr11	111537021	Cohn
chr11	111537029	Cohn
chr11	111537178	Cohn
chr11	111661432	Cohn
chr11	112422727	Cohn
chr11	114162037	Cohn
chr11	115673550	Cohn
chr11	116780939	Cohn
chr11	116832772	Cohn
chr11	116833682	Cohn
chr11	117493821	Cohn
chr11	117865181	Cohn
chr11	117865378	Cohn
chr11	118034374	Cohn
chr11	118076123	Cohn
chr11	118083123	Cohn
chr11	118321778	Cohn
chr11	118458830	Cohn
chr11	118507149	Cohn
chr11	118622714	Cohn
chr11	118626413	Cohn
chr11	118649179	Cohn
chr11	118892636	Cohn
chr11	118943511	Cohn
chr11	118943622	Cohn
chr11	119146598	Cohn
chr11	120441219	Cohn
chr11	120653262	Cohn
chr11	122680223	Cohn
chr11	123442566	Cohn
chr11	123442621	Cohn
chr11	126734653	Cohn
chr11	126750385	Cohn
chr11	128337012	Cohn
chr11	130012565	Cohn
chr11	130057394	Cohn
chr11	130559975	Cohn
chr11	131262448	Cohn
chr11	131867884	Cohn
chr11	134048618	Cohn
chr11	134048648	Cohn
chr12	194981	Cohn
chr12	540822	Cohn
chr12	713993	Cohn
chr12	902776	Cohn
chr12	956135	Cohn
chr12	1014835	Cohn
chr12	1015137	Cohn
chr12	1046220	Cohn
chr12	1295600	Cohn
chr12	1297973	Cohn
chr12	1589548	Cohn
chr12	1589863	Cohn
chr12	1819081	Cohn
chr12	2197374	Cohn
chr12	3153860	Cohn
chr12	3214259	Cohn
chr12	3214387	Cohn
chr12	3214433	Cohn
chr12	3214657	Cohn
chr12	3214688	Cohn
chr12	3214695	Cohn
chr12	3214696	Cohn
chr12	3214808	Cohn
chr12	3214866	Cohn
chr12	3214957	Cohn
chr12	3214998	Cohn
chr12	3215148	Cohn
chr12	4390391	Cohn
chr12	5657746	Cohn
chr12	6698560	Cohn
chr12	6733088	Cohn
chr12	7111486	Cohn
chr12	8612077	Cohn
chr12	8888284	Cohn
chr12	9129343	Cohn
chr12	9842246	Cohn
chr12	9843261	Cohn
chr12	11954559	Cohn
chr12	12614657	Cohn
chr12	12614750	Cohn
chr12	13798717	Cohn
chr12	13798765	Cohn
chr12	20630713	Cohn
chr12	21536431	Cohn
chr12	21607560	Cohn
chr12	21637745	Cohn
chr12	21665651	Cohn
chr12	21796109	Cohn
chr12	22071631	Cohn
chr12	22071748	Cohn
chr12	22071754	Cohn
chr12	22539892	Cohn
chr12	23726603	Cohn
chr12	25375991	Cohn
chr12	26941876	Cohn
chr12	26956400	Cohn
chr12	27113129	Cohn
chr12	28359474	Cohn
chr12	30793900	Cohn
chr12	30888033	Cohn
chr12	31677200	Cohn
chr12	32861713	Cohn
chr12	32873904	Cohn
chr12	39756701	Cohn
chr12	42531214	Cohn
chr12	42531480	Cohn
chr12	42531493	Cohn
chr12	42531536	Cohn
chr12	42531575	Cohn
chr12	42531585	Cohn
chr12	42531592	Cohn
chr12	42531610	Cohn
chr12	42628227	Cohn
chr12	44114766	Cohn
chr12	44487817	Cohn
chr12	44925185	Cohn
chr12	45055381	Cohn
chr12	46186205	Cohn
chr12	46186229	Cohn
chr12	46346513	Cohn
chr12	46354020	Cohn
chr12	46620138	Cohn
chr12	46848544	Cohn
chr12	46848624	Cohn
chr12	46943928	Cohn
chr12	46943955	Cohn
chr12	48271384	Cohn
chr12	48457217	Cohn
chr12	49087942	Cohn
chr12	49446120	Cohn
chr12	50515512	Cohn
chr12	50515615	Cohn
chr12	50515626	Cohn
chr12	50515715	Cohn
chr12	50648174	Cohn
chr12	50650261	Cohn
chr12	50916547	Cohn
chr12	51030381	Cohn
chr12	51517040	Cohn
chr12	51530469	Cohn
chr12	51545179	Cohn
chr12	53438156	Cohn
chr12	53598679	Cohn
chr12	53777257	Cohn
chr12	53868990	Cohn
chr12	53920031	Cohn
chr12	53920165	Cohn
chr12	53947756	Cohn
chr12	54653052	Cohn
chr12	54653251	Cohn
chr12	54685869	Cohn
chr12	54685907	Cohn
chr12	54686107	Cohn
chr12	54947705	Cohn
chr12	55370711	Cohn
chr12	55371507	Cohn
chr12	56155822	Cohn
chr12	56178727	Cohn
chr12	56315936	Cohn
chr12	56315976	Cohn
chr12	56330442	Cohn
chr12	56414339	Cohn
chr12	56493243	Cohn
chr12	56514152	Cohn
chr12	56527156	Cohn
chr12	56578886	Cohn
chr12	56674871	Cohn
chr12	56690817	Cohn
chr12	56706003	Cohn
chr12	56739973	Cohn
chr12	56961707	Cohn
chr12	57008851	Cohn
chr12	57008902	Cohn
chr12	57008922	Cohn
chr12	57008986	Cohn
chr12	57058437	Cohn
chr12	57068091	Cohn
chr12	57678682	Cohn
chr12	57679000	Cohn
chr12	57804303	Cohn
chr12	57804500	Cohn
chr12	57922190	Cohn
chr12	58236952	Cohn
chr12	60009097	Cohn
chr12	60102798	Cohn
chr12	62652129	Cohn
chr12	62729977	Cohn
chr12	64170511	Cohn
chr12	64266675	Cohn
chr12	65043950	Cohn
chr12	65044038	Cohn
chr12	65044039	Cohn
chr12	65044056	Cohn
chr12	65044445	Cohn
chr12	65044470	Cohn
chr12	65462180	Cohn
chr12	66012904	Cohn
chr12	68810627	Cohn
chr12	69142641	Cohn
chr12	69659207	Cohn
chr12	69951916	Cohn
chr12	69951995	Cohn
chr12	69952055	Cohn
chr12	69952269	Cohn
chr12	69952520	Cohn
chr12	70495526	Cohn
chr12	71555839	Cohn
chr12	71702073	Cohn
chr12	71702113	Cohn
chr12	72162096	Cohn
chr12	72701639	Cohn
chr12	76940501	Cohn
chr12	76940705	Cohn
chr12	77235915	Cohn
chr12	77235943	Cohn
chr12	80732132	Cohn
chr12	91566202	Cohn
chr12	92509927	Cohn
chr12	92542085	Cohn
chr12	92549349	Cohn
chr12	93264062	Cohn
chr12	93460816	Cohn
chr12	93818432	Cohn
chr12	93873935	Cohn
chr12	94215644	Cohn
chr12	95424634	Cohn
chr12	95576627	Cohn
chr12	96783388	Cohn
chr12	96788518	Cohn
chr12	97421203	Cohn
chr12	99221163	Cohn
chr12	99221169	Cohn
chr12	99221237	Cohn
chr12	99318987	Cohn
chr12	99628650	Cohn
chr12	99628654	Cohn
chr12	100676048	Cohn
chr12	101232761	Cohn
chr12	102816627	Cohn
chr12	104468628	Cohn
chr12	104858826	Cohn
chr12	104858890	Cohn
chr12	104858993	Cohn
chr12	104859092	Cohn
chr12	104859323	Cohn
chr12	105150322	Cohn
chr12	105428369	Cohn
chr12	105528371	Cohn
chr12	105761072	Cohn
chr12	106709933	Cohn
chr12	107183648	Cohn
chr12	107230548	Cohn
chr12	107720357	Cohn
chr12	108722349	Cohn
chr12	108855155	Cohn
chr12	108855212	Cohn
chr12	108855224	Cohn
chr12	108855287	Cohn
chr12	108855411	Cohn
chr12	110168473	Cohn
chr12	110427047	Cohn
chr12	110604595	Cohn
chr12	110750070	Cohn
chr12	111902014	Cohn
chr12	112293443	Cohn
chr12	112460994	Cohn
chr12	112461087	Cohn
chr12	112518856	Cohn
chr12	112699393	Cohn
chr12	112875497	Cohn
chr12	113107190	Cohn
chr12	114385049	Cohn
chr12	114385091	Cohn
chr12	114385141	Cohn
chr12	114385148	Cohn
chr12	114385376	Cohn
chr12	114385413	Cohn
chr12	114385414	Cohn
chr12	114385453	Cohn
chr12	114385454	Cohn
chr12	114385455	Cohn
chr12	114385456	Cohn
chr12	114385457	Cohn
chr12	116680118	Cohn
chr12	117567813	Cohn
chr12	117828076	Cohn
chr12	118150159	Cohn
chr12	118740056	Cohn
chr12	118740363	Cohn
chr12	118785215	Cohn
chr12	119562858	Cohn
chr12	119681414	Cohn
chr12	120236579	Cohn
chr12	120304001	Cohn
chr12	120441212	Cohn
chr12	120904703	Cohn
chr12	121241430	Cohn
chr12	121314960	Cohn
chr12	122024347	Cohn
chr12	122070517	Cohn
chr12	122587607	Cohn
chr12	122891895	Cohn
chr12	123004763	Cohn
chr12	123004962	Cohn
chr12	123005857	Cohn
chr12	123029661	Cohn
chr12	123652543	Cohn
chr12	123745837	Cohn
chr12	124465284	Cohn
chr12	124992463	Cohn
chr12	125790025	Cohn
chr12	127405058	Cohn
chr12	129685365	Cohn
chr12	130945390	Cohn
chr12	130945449	Cohn
chr12	131617382	Cohn
chr12	132519452	Cohn
chr12	132519513	Cohn
chr12	132519530	Cohn
chr12	132519679	Cohn
chr12	132519735	Cohn
chr12	132572998	Cohn
chr12	133209407	Cohn
chr12	133292152	Cohn
chr12	133459164	Cohn
chr12	133459292	Cohn
chr12	133459349	Cohn
chr12	133462107	Cohn
chr12	133616151	Cohn
chr12	133633379	Cohn
chr12	133673283	Cohn
chr12	133680884	Cohn
chr12	133681029	Cohn
chr12	133681173	Cohn
chr12	133681317	Cohn
chr13	20342964	Cohn
chr13	20548020	Cohn
chr13	21372909	Cohn
chr13	21626285	Cohn
chr13	21626304	Cohn
chr13	24324848	Cohn
chr13	24338964	Cohn
chr13	27686185	Cohn
chr13	28792738	Cohn
chr13	32984747	Cohn
chr13	32984961	Cohn
chr13	32985080	Cohn
chr13	33046613	Cohn
chr13	33235553	Cohn
chr13	33942305	Cohn
chr13	36155210	Cohn
chr13	36851727	Cohn
chr13	39555427	Cohn
chr13	39555454	Cohn
chr13	41169128	Cohn
chr13	41199235	Cohn
chr13	41199346	Cohn
chr13	41576944	Cohn
chr13	41942404	Cohn
chr13	43551143	Cohn
chr13	43553814	Cohn
chr13	44055396	Cohn
chr13	46596295	Cohn
chr13	48900284	Cohn
chr13	49053958	Cohn
chr13	50575478	Cohn
chr13	50614528	Cohn
chr13	51522292	Cohn
chr13	51842152	Cohn
chr13	52011856	Cohn
chr13	60471657	Cohn
chr13	60475455	Cohn
chr13	62585827	Cohn
chr13	67203583	Cohn
chr13	67203742	Cohn
chr13	73516889	Cohn
chr13	73576763	Cohn
chr13	74198370	Cohn
chr13	74266848	Cohn
chr13	74405874	Cohn
chr13	74414923	Cohn
chr13	74447931	Cohn
chr13	74464158	Cohn
chr13	74522963	Cohn
chr13	74542641	Cohn
chr13	74690930	Cohn
chr13	74691298	Cohn
chr13	79094899	Cohn
chr13	94062605	Cohn
chr13	94062622	Cohn
chr13	94112177	Cohn
chr13	96276937	Cohn
chr13	99660756	Cohn
chr13	99928256	Cohn
chr13	99992086	Cohn
chr13	101078452	Cohn
chr13	110869722	Cohn
chr13	110869741	Cohn
chr13	111200462	Cohn
chr13	111271060	Cohn
chr13	111943706	Cohn
chr13	113079259	Cohn
chr13	113904951	Cohn
chr14	20915744	Cohn
chr14	21505149	Cohn
chr14	21817088	Cohn
chr14	21817101	Cohn
chr14	21817155	Cohn
chr14	23553922	Cohn
chr14	23557494	Cohn
chr14	24634443	Cohn
chr14	24634479	Cohn
chr14	24634506	Cohn
chr14	24635002	Cohn
chr14	24737094	Cohn
chr14	29354925	Cohn
chr14	30086530	Cohn
chr14	30476931	Cohn
chr14	31106324	Cohn
chr14	31228640	Cohn
chr14	31228685	Cohn
chr14	31228831	Cohn
chr14	31402837	Cohn
chr14	31650018	Cohn
chr14	31650066	Cohn
chr14	32417533	Cohn
chr14	32901430	Cohn
chr14	33169313	Cohn
chr14	33217400	Cohn
chr14	33224988	Cohn
chr14	33637546	Cohn
chr14	33731108	Cohn
chr14	33731159	Cohn
chr14	36159237	Cohn
chr14	36320718	Cohn
chr14	37808141	Cohn
chr14	38560716	Cohn
chr14	39974651	Cohn
chr14	44934196	Cohn
chr14	45240667	Cohn
chr14	50395129	Cohn
chr14	50609544	Cohn
chr14	50734544	Cohn
chr14	50896732	Cohn
chr14	50981257	Cohn
chr14	53211653	Cohn
chr14	53223335	Cohn
chr14	53236269	Cohn
chr14	53379496	Cohn
chr14	53605552	Cohn
chr14	55146435	Cohn
chr14	56662546	Cohn
chr14	57705988	Cohn
chr14	61837766	Cohn
chr14	63991265	Cohn
chr14	63991470	Cohn
chr14	64006229	Cohn
chr14	64006266	Cohn
chr14	64006272	Cohn
chr14	64006301	Cohn
chr14	64166133	Cohn
chr14	64173342	Cohn
chr14	64376762	Cohn
chr14	65559260	Cohn
chr14	65952429	Cohn
chr14	65952761	Cohn
chr14	66043330	Cohn
chr14	68627558	Cohn
chr14	68672934	Cohn
chr14	68677267	Cohn
chr14	68979611	Cohn
chr14	69519479	Cohn
chr14	69892013	Cohn
chr14	70117484	Cohn
chr14	70123115	Cohn
chr14	70612591	Cohn
chr14	70799072	Cohn
chr14	71392610	Cohn
chr14	71458120	Cohn
chr14	71460556	Cohn
chr14	71516005	Cohn
chr14	71878250	Cohn
chr14	71878501	Cohn
chr14	71884477	Cohn
chr14	72337349	Cohn
chr14	73840514	Cohn
chr14	74357528	Cohn
chr14	74607146	Cohn
chr14	74956495	Cohn
chr14	74956529	Cohn
chr14	75238400	Cohn
chr14	75416915	Cohn
chr14	75995336	Cohn
chr14	77648811	Cohn
chr14	78951416	Cohn
chr14	79313381	Cohn
chr14	79642146	Cohn
chr14	79642191	Cohn
chr14	79642244	Cohn
chr14	79642288	Cohn
chr14	81995804	Cohn
chr14	86457772	Cohn
chr14	88448895	Cohn
chr14	90502909	Cohn
chr14	91067711	Cohn
chr14	91393805	Cohn
chr14	91749142	Cohn
chr14	91945601	Cohn
chr14	91961396	Cohn
chr14	92297306	Cohn
chr14	92297381	Cohn
chr14	92440425	Cohn
chr14	92465030	Cohn
chr14	92485419	Cohn
chr14	92884515	Cohn
chr14	92910762	Cohn
chr14	92910763	Cohn
chr14	93266506	Cohn
chr14	94938771	Cohn
chr14	96861063	Cohn
chr14	96943609	Cohn
chr14	97337742	Cohn
chr14	98026449	Cohn
chr14	99974968	Cohn
chr14	100693955	Cohn
chr14	100748520	Cohn
chr14	102439523	Cohn
chr14	102959985	Cohn
chr14	103297005	Cohn
chr14	103923709	Cohn
chr14	104137521	Cohn
chr14	105425422	Cohn
chr15	21941674	Cohn
chr15	25211912	Cohn
chr15	25211952	Cohn
chr15	25211986	Cohn
chr15	25211991	Cohn
chr15	25212001	Cohn
chr15	25212104	Cohn
chr15	25212155	Cohn
chr15	25212228	Cohn
chr15	25212254	Cohn
chr15	25600248	Cohn
chr15	25600281	Cohn
chr15	25760879	Cohn
chr15	27254723	Cohn
chr15	27255148	Cohn
chr15	27271417	Cohn
chr15	27364901	Cohn
chr15	29803799	Cohn
chr15	31822947	Cohn
chr15	31823063	Cohn
chr15	32084434	Cohn
chr15	34061082	Cohn
chr15	35971965	Cohn
chr15	35976518	Cohn
chr15	36143676	Cohn
chr15	39472355	Cohn
chr15	39952340	Cohn
chr15	40465928	Cohn
chr15	40471621	Cohn
chr15	40477673	Cohn
chr15	40862336	Cohn
chr15	41073250	Cohn
chr15	41073501	Cohn
chr15	41291698	Cohn
chr15	41751885	Cohn
chr15	41942438	Cohn
chr15	41942454	Cohn
chr15	41966583	Cohn
chr15	42002942	Cohn
chr15	42729593	Cohn
chr15	43079057	Cohn
chr15	43079473	Cohn
chr15	43726834	Cohn
chr15	43750671	Cohn
chr15	44109906	Cohn
chr15	44773472	Cohn
chr15	44906868	Cohn
chr15	44974711	Cohn
chr15	47487391	Cohn
chr15	48337869	Cohn
chr15	50527072	Cohn
chr15	52481078	Cohn
chr15	52496540	Cohn
chr15	52777721	Cohn
chr15	54335436	Cohn
chr15	55706114	Cohn
chr15	55706115	Cohn
chr15	55706137	Cohn
chr15	55706168	Cohn
chr15	56508269	Cohn
chr15	56530252	Cohn
chr15	59932218	Cohn
chr15	60751315	Cohn
chr15	60937379	Cohn
chr15	60946427	Cohn
chr15	61091241	Cohn
chr15	61370666	Cohn
chr15	61598771	Cohn
chr15	61632613	Cohn
chr15	63162696	Cohn
chr15	63526311	Cohn
chr15	63947311	Cohn
chr15	64110652	Cohn
chr15	64581012	Cohn
chr15	64779066	Cohn
chr15	64784829	Cohn
chr15	64785944	Cohn
chr15	64851671	Cohn
chr15	64852032	Cohn
chr15	64925178	Cohn
chr15	65950545	Cohn
chr15	65950567	Cohn
chr15	66035024	Cohn
chr15	66174017	Cohn
chr15	66231549	Cohn
chr15	66231625	Cohn
chr15	66275008	Cohn
chr15	66445285	Cohn
chr15	66445299	Cohn
chr15	66445328	Cohn
chr15	66445343	Cohn
chr15	66445354	Cohn
chr15	66445435	Cohn
chr15	66445510	Cohn
chr15	66445589	Cohn
chr15	66445663	Cohn
chr15	66445727	Cohn
chr15	66445847	Cohn
chr15	66445878	Cohn
chr15	66710677	Cohn
chr15	66711885	Cohn
chr15	67009463	Cohn
chr15	67055324	Cohn
chr15	67055391	Cohn
chr15	67702797	Cohn
chr15	68461518	Cohn
chr15	69944697	Cohn
chr15	73018721	Cohn
chr15	73900461	Cohn
chr15	74548293	Cohn
chr15	75089260	Cohn
chr15	75522071	Cohn
chr15	75858146	Cohn
chr15	75928736	Cohn
chr15	76518077	Cohn
chr15	76655464	Cohn
chr15	76982804	Cohn
chr15	76982820	Cohn
chr15	76982926	Cohn
chr15	77064813	Cohn
chr15	77241831	Cohn
chr15	77310373	Cohn
chr15	77718108	Cohn
chr15	77755868	Cohn
chr15	78333896	Cohn
chr15	78495121	Cohn
chr15	78507607	Cohn
chr15	78753633	Cohn
chr15	80393275	Cohn
chr15	84515854	Cohn
chr15	85160629	Cohn
chr15	85974586	Cohn
chr15	86174994	Cohn
chr15	86194872	Cohn
chr15	86194888	Cohn
chr15	86195168	Cohn
chr15	89815101	Cohn
chr15	90151846	Cohn
chr15	90818842	Cohn
chr15	90988657	Cohn
chr15	91034985	Cohn
chr15	91463677	Cohn
chr15	91463869	Cohn
chr15	92460563	Cohn
chr15	97896948	Cohn
chr15	99804174	Cohn
chr15	100362680	Cohn
chr16	167839	Cohn
chr16	257608	Cohn
chr16	371522	Cohn
chr16	418756	Cohn
chr16	419046	Cohn
chr16	419052	Cohn
chr16	419053	Cohn
chr16	419062	Cohn
chr16	419321	Cohn
chr16	419378	Cohn
chr16	527652	Cohn
chr16	715755	Cohn
chr16	781156	Cohn
chr16	781221	Cohn
chr16	781529	Cohn
chr16	950043	Cohn
chr16	1140408	Cohn
chr16	1420640	Cohn
chr16	1420948	Cohn
chr16	1421105	Cohn
chr16	1580617	Cohn
chr16	1600677	Cohn
chr16	1667469	Cohn
chr16	1739442	Cohn
chr16	1739449	Cohn
chr16	1769870	Cohn
chr16	1792709	Cohn
chr16	1854057	Cohn
chr16	1854147	Cohn
chr16	1854585	Cohn
chr16	1854715	Cohn
chr16	2028145	Cohn
chr16	2028497	Cohn
chr16	2037250	Cohn
chr16	2055522	Cohn
chr16	2096010	Cohn
chr16	2146131	Cohn
chr16	2146191	Cohn
chr16	2146199	Cohn
chr16	2146205	Cohn
chr16	2146442	Cohn
chr16	2200026	Cohn
chr16	2311476	Cohn
chr16	2811261	Cohn
chr16	2811383	Cohn
chr16	3021748	Cohn
chr16	3022228	Cohn
chr16	3127835	Cohn
chr16	3131919	Cohn
chr16	3131966	Cohn
chr16	3278157	Cohn
chr16	3484329	Cohn
chr16	3509515	Cohn
chr16	3554068	Cohn
chr16	3568381	Cohn
chr16	3608578	Cohn
chr16	3648857	Cohn
chr16	3648989	Cohn
chr16	3672054	Cohn
chr16	3672253	Cohn
chr16	3692744	Cohn
chr16	3749272	Cohn
chr16	3804884	Cohn
chr16	3805372	Cohn
chr16	3805566	Cohn
chr16	3805712	Cohn
chr16	4419967	Cohn
chr16	4419989	Cohn
chr16	4446597	Cohn
chr16	4541135	Cohn
chr16	4554061	Cohn
chr16	4558593	Cohn
chr16	4558923	Cohn
chr16	4559157	Cohn
chr16	4559348	Cohn
chr16	4885510	Cohn
chr16	4903048	Cohn
chr16	4903143	Cohn
chr16	4903179	Cohn
chr16	4903190	Cohn
chr16	4903248	Cohn
chr16	4903293	Cohn
chr16	4903308	Cohn
chr16	4903674	Cohn
chr16	6186064	Cohn
chr16	9011062	Cohn
chr16	9204453	Cohn
chr16	10511207	Cohn
chr16	10529646	Cohn
chr16	10566577	Cohn
chr16	10890387	Cohn
chr16	10890431	Cohn
chr16	11096314	Cohn
chr16	11795083	Cohn
chr16	11795466	Cohn
chr16	11795499	Cohn
chr16	11825912	Cohn
chr16	11861993	Cohn
chr16	11873865	Cohn
chr16	12003447	Cohn
chr16	12593692	Cohn
chr16	12630585	Cohn
chr16	12808935	Cohn
chr16	13489222	Cohn
chr16	14304611	Cohn
chr16	14304615	Cohn
chr16	14305641	Cohn
chr16	14305704	Cohn
chr16	14305842	Cohn
chr16	14306756	Cohn
chr16	14306935	Cohn
chr16	14307156	Cohn
chr16	14307157	Cohn
chr16	14307196	Cohn
chr16	14307329	Cohn
chr16	14307377	Cohn
chr16	14307474	Cohn
chr16	14307530	Cohn
chr16	14307584	Cohn
chr16	14307802	Cohn
chr16	14308039	Cohn
chr16	14308203	Cohn
chr16	14308417	Cohn
chr16	14308664	Cohn
chr16	14309049	Cohn
chr16	14309060	Cohn
chr16	14309132	Cohn
chr16	14309195	Cohn
chr16	14309305	Cohn
chr16	14309542	Cohn
chr16	14309549	Cohn
chr16	14309795	Cohn
chr16	14310230	Cohn
chr16	14310552	Cohn
chr16	14310553	Cohn
chr16	14313017	Cohn
chr16	14313018	Cohn
chr16	14313023	Cohn
chr16	14313207	Cohn
chr16	14584873	Cohn
chr16	14584890	Cohn
chr16	14584895	Cohn
chr16	14652548	Cohn
chr16	14652851	Cohn
chr16	14654917	Cohn
chr16	15145086	Cohn
chr16	15606486	Cohn
chr16	15784857	Cohn
chr16	16044930	Cohn
chr16	16193045	Cohn
chr16	16193070	Cohn
chr16	18814862	Cohn
chr16	18889494	Cohn
chr16	18923633	Cohn
chr16	19143354	Cohn
chr16	20426093	Cohn
chr16	21276600	Cohn
chr16	22038778	Cohn
chr16	22038801	Cohn
chr16	22038927	Cohn
chr16	22373941	Cohn
chr16	22373948	Cohn
chr16	23101279	Cohn
chr16	23551452	Cohn
chr16	23667765	Cohn
chr16	23896062	Cohn
chr16	24176188	Cohn
chr16	24771253	Cohn
chr16	27553103	Cohn
chr16	27679344	Cohn
chr16	27942682	Cohn
chr16	28138476	Cohn
chr16	28169136	Cohn
chr16	28169561	Cohn
chr16	28170702	Cohn
chr16	28174078	Cohn
chr16	28196428	Cohn
chr16	28214346	Cohn
chr16	29594955	Cohn
chr16	29753955	Cohn
chr16	29805488	Cohn
chr16	29805591	Cohn
chr16	29805776	Cohn
chr16	29933517	Cohn
chr16	30088513	Cohn
chr16	30088534	Cohn
chr16	30088874	Cohn
chr16	30119253	Cohn
chr16	30119288	Cohn
chr16	30287752	Cohn
chr16	30524749	Cohn
chr16	30543506	Cohn
chr16	30716160	Cohn
chr16	30743892	Cohn
chr16	30972560	Cohn
chr16	31198581	Cohn
chr16	31198818	Cohn
chr16	31898227	Cohn
chr16	47292378	Cohn
chr16	47537067	Cohn
chr16	47537136	Cohn
chr16	47692988	Cohn
chr16	47693044	Cohn
chr16	47693085	Cohn
chr16	48282166	Cohn
chr16	48649361	Cohn
chr16	48649369	Cohn
chr16	49660388	Cohn
chr16	49660403	Cohn
chr16	50091520	Cohn
chr16	50317343	Cohn
chr16	50317724	Cohn
chr16	50317736	Cohn
chr16	50604325	Cohn
chr16	50604425	Cohn
chr16	50604557	Cohn
chr16	50785060	Cohn
chr16	50794568	Cohn
chr16	50794950	Cohn
chr16	50798241	Cohn
chr16	50806546	Cohn
chr16	50812459	Cohn
chr16	50829647	Cohn
chr16	53181319	Cohn
chr16	54143513	Cohn
chr16	56816883	Cohn
chr16	57043773	Cohn
chr16	57054003	Cohn
chr16	57054054	Cohn
chr16	57098316	Cohn
chr16	57237557	Cohn
chr16	57284440	Cohn
chr16	58593029	Cohn
chr16	58593445	Cohn
chr16	58610522	Cohn
chr16	58861180	Cohn
chr16	59914870	Cohn
chr16	60002741	Cohn
chr16	64307453	Cohn
chr16	65367749	Cohn
chr16	66506123	Cohn
chr16	66506269	Cohn
chr16	66565136	Cohn
chr16	66593206	Cohn
chr16	66830267	Cohn
chr16	67068905	Cohn
chr16	67069370	Cohn
chr16	67070108	Cohn
chr16	67153886	Cohn
chr16	67777101	Cohn
